Metric,Mask,Sequence,Pearson,Spearman
niqe,False,blue_hair,0.32047852217170464,0.4094408451430039
niqe,False,boys,0.6055008885489735,0.5609983768531269
niqe,False,game_streamer,0.02526965153047965,0.318695073754519
niqe,False,happy_dog,0.9596829846872996,0.932878747919711
niqe,False,light_show,0.7001508094714203,0.6759628446581919
niqe,False,mountain_dog,0.650213581880356,0.3952918432277865
niqe,False,pool_underwater,0.17647302169249662,0.45215021080780815
niqe,False,pumba,0.5981318270357976,0.6747206581475961
niqe,False,tourist,0.28832607434025825,0.3907015515376683
niqe,False,winter_riding,0.8727227465026386,0.8187873382388775
niqe,True,blue_hair,0.06693260723491526,0.10875284385478975
niqe,True,boys,0.02816212580119852,0.23860936160173668
niqe,True,game_streamer,0.5173878458125849,0.4783035133174844
niqe,True,happy_dog,0.9606448633862782,0.9223332500891265
niqe,True,light_show,0.5464776113807414,0.6051928446999624
niqe,True,mountain_dog,0.6647439019845887,0.36923193492187
niqe,True,pool_underwater,0.16866369156220734,0.3654814756607776
niqe,True,pumba,0.2483690617632377,0.08480038905009192
niqe,True,tourist,0.4709492561491187,0.42475119746972
niqe,True,winter_riding,0.9181789861130538,0.8284750954966407
psnr,False,blue_hair,0.8672646171328025,0.8170023824440042
psnr,False,boys,0.9921436495729602,0.841909441652861
psnr,False,game_streamer,0.4698026369080119,0.6302503141228005
psnr,False,happy_dog,0.9576429514621212,0.9105030163966923
psnr,False,light_show,0.6807858925507254,0.6409030895635847
psnr,False,mountain_dog,0.8315265893327127,0.7757406243445606
psnr,False,pool_underwater,0.9188669516904,0.938804578948137
psnr,False,pumba,0.6072571547037257,0.6013236056204194
psnr,False,tourist,0.6012421565601168,0.6895827345489549
psnr,False,winter_riding,0.9495712723148222,0.946070935969298
psnr,True,blue_hair,0.8834551789069015,0.7976868583156043
psnr,True,boys,0.9586300859944912,0.8304377304775925
psnr,True,game_streamer,0.5104881463737417,0.681119631081985
psnr,True,happy_dog,0.963492047033289,0.9105030163966923
psnr,True,light_show,0.6895369411754522,0.6409030895635847
psnr,True,mountain_dog,0.8249007457571229,0.7757406243445606
psnr,True,pool_underwater,0.9188594218603181,0.938804578948137
psnr,True,pumba,0.6354306248110627,0.6205839265275115
psnr,True,tourist,0.6162800029113515,0.692050703588143
psnr,True,winter_riding,0.9518201405382388,0.946070935969298
ssim,False,blue_hair,0.9245339586967534,0.8608470914164317
ssim,False,boys,0.949446985082434,0.800421633225588
ssim,False,game_streamer,0.44113561982802907,0.6005016167904976
ssim,False,happy_dog,0.9860398541704307,0.9580049904320675
ssim,False,light_show,0.9113210601242641,0.8437255802022345
ssim,False,mountain_dog,0.8723921454099892,0.7913367201907888
ssim,False,pool_underwater,0.9502636754015588,0.946070935969298
ssim,False,pumba,0.670720431768265,0.6345771384124751
ssim,False,tourist,0.8893167914272916,0.8666021933496666
ssim,False,winter_riding,0.9545612352733395,0.938804578948137
ssim,True,blue_hair,0.9276251532142933,0.8614310744063352
ssim,True,boys,0.9459851292542002,0.7847263477960865
ssim,True,game_streamer,0.44838615012797306,0.6005016167904976
ssim,True,happy_dog,0.9860203593179412,0.9580049904320675
ssim,True,light_show,0.912570955234506,0.8534342558343431
ssim,True,mountain_dog,0.8702801335666279,0.7817878846906496
ssim,True,pool_underwater,0.9485504851122473,0.946070935969298
ssim,True,pumba,0.6750897640886396,0.6345771384124751
ssim,True,tourist,0.8917065358626445,0.8666021933496666
ssim,True,winter_riding,0.9558441620633992,0.938804578948137
vmaf,False,blue_hair,0.9400486072134714,0.9032634600228314
vmaf,False,boys,0.9829265553473452,0.9739999592045591
vmaf,False,game_streamer,0.9695835210124434,0.9680056076399217
vmaf,False,happy_dog,0.9845909847690129,0.9785643121407261
vmaf,False,light_show,0.9166276046601969,0.8653800596076386
vmaf,False,mountain_dog,0.9304982582294542,0.9393647167298187
vmaf,False,pool_underwater,0.9462576903807656,0.9572815827391601
vmaf,False,pumba,0.9193099361787893,0.9507394479637541
vmaf,False,tourist,0.9773013703759829,0.9829939491956833
vmaf,False,winter_riding,0.93917508909244,0.9246377454450255
vmaf,True,blue_hair,0.940421213730014,0.9032634600228314
vmaf,True,boys,0.9828735356622488,0.9739999592045591
vmaf,True,game_streamer,0.973086148749003,0.9680056076399217
vmaf,True,happy_dog,0.9837528435064162,0.9749638464705235
vmaf,True,light_show,0.9152773627415833,0.8653800596076386
vmaf,True,mountain_dog,0.931111970524345,0.9393647167298187
vmaf,True,pool_underwater,0.9470473494866208,0.9572815827391601
vmaf,True,pumba,0.9213209067711878,0.9507394479637541
vmaf,True,tourist,0.9779063329326403,0.9829939491956833
vmaf,True,winter_riding,0.9404155952407705,0.9246377454450255
